SeqNo,stationbus,stationA,stationB,traveltime,SeqNo,stoptime,UpdateTime,EffectiveDate
78,南港展覽館-頂埔,捷運後山埤站,捷運永春站,76,4,29,20250603,20250603
79,南港展覽館-頂埔,捷運永春站,捷運市政府站,87,5,25,20250603,20250603
80,南港展覽館-頂埔,捷運市政府站,捷運國父紀念館站,77,6,28,20250603,20250603
81,南港展覽館-頂埔,捷運國父紀念館站,捷運忠孝敦化站,71,7,28,20250603,20250603
82,南港展覽館-頂埔,捷運忠孝敦化站,捷運忠孝復興站,65,8,28,20250603,20250603
83,南港展覽館-頂埔,捷運忠孝復興站,捷運忠孝新生站,90,9,40,20250603,20250603
84,南港展覽館-頂埔,捷運忠孝新生站,捷運善導寺站,81,10,40,20250603,20250603
85,南港展覽館-頂埔,捷運善導寺站,捷運台北車站,66,11,25,20250603,20250603
86,南港展覽館-頂埔,捷運台北車站,捷運西門站,120,12,42,20250603,20250603
87,南港展覽館-頂埔,捷運西門站,捷運龍山寺站,110,13,35,20250603,20250603
88,南港展覽館-頂埔,捷運龍山寺站,捷運江子翠站,192,14,29,20250603,20250603
89,南港展覽館-頂埔,捷運江子翠站,捷運新埔站,77,15,28,20250603,20250603
90,南港展覽館-頂埔,捷運新埔站,捷運板橋站,107,16,28,20250603,20250603
91,南港展覽館-頂埔,捷運板橋站,捷運府中站,67,17,28,20250603,20250603
92,南港展覽館-頂埔,捷運府中站,捷運亞東醫院站,102,18,28,20250603,20250603
93,南港展覽館-頂埔,捷運亞東醫院站,捷運海山站,142,19,26,20250603,20250603
94,南港展覽館-頂埔,捷運海山站,捷運土城站,106,20,26,20250603,20250603
95,南港展覽館-頂埔,捷運土城站,捷運永寧站,95,21,26,20250603,20250603
96,南港展覽館-頂埔,捷運永寧站,捷運頂埔站,180,22,28,20250603,20250603
97,南港展覽館-亞東醫院,捷運南港展覽館站,捷運南港站,112,1,0,20250603,20250603
98,南港展覽館-亞東醫院,捷運南港站,捷運昆陽站,109,2,24,20250603,20250603
99,南港展覽館-亞東醫院,捷運昆陽站,捷運後山埤站,107,3,25,20250603,20250603
100,南港展覽館-亞東醫院,捷運後山埤站,捷運永春站,76,4,29,20250603,20250603
101,南港展覽館-亞東醫院,捷運永春站,捷運市政府站,87,5,25,20250603,20250603
102,南港展覽館-亞東醫院,捷運市政府站,捷運國父紀念館站,77,6,28,20250603,20250603
103,南港展覽館-亞東醫院,捷運國父紀念館站,捷運忠孝敦化站,71,7,28,20250603,20250603
104,南港展覽館-亞東醫院,捷運忠孝敦化站,捷運忠孝復興站,65,8,28,20250603,20250603
105,南港展覽館-亞東醫院,捷運忠孝復興站,捷運忠孝新生站,90,9,40,20250603,20250603
106,南港展覽館-亞東醫院,捷運忠孝新生站,捷運善導寺站,81,10,40,20250603,20250603
107,南港展覽館-亞東醫院,捷運善導寺站,捷運台北車站,66,11,25,20250603,20250603
108,南港展覽館-亞東醫院,捷運台北車站,捷運西門站,120,12,42,20250603,20250603
109,南港展覽館-亞東醫院,捷運西門站,捷運龍山寺站,110,13,35,20250603,20250603
110,南港展覽館-亞東醫院,捷運龍山寺站,捷運江子翠站,192,14,29,20250603,20250603
111,南港展覽館-亞東醫院,捷運江子翠站,捷運新埔站,77,15,28,20250603,20250603
112,南港展覽館-亞東醫院,捷運新埔站,捷運板橋站,107,16,28,20250603,20250603
113,南港展覽館-亞東醫院,捷運板橋站,捷運府中站,67,17,28,20250603,20250603
114,南港展覽館-亞東醫院,捷運府中站,捷運亞東醫院站,102,18,28,20250603,20250603
115,動物園-南港展覽館,捷運南港展覽館站,捷運南港軟體園區站,78,1,0,20250603,20250603
116,動物園-南港展覽館,捷運南港軟體園區站,捷運東湖站,85,2,25,20250603,20250603
117,動物園-南港展覽館,捷運東湖站,捷運葫洲站,78,3,25,20250603,20250603
118,動物園-南港展覽館,捷運葫洲站,捷運大湖公園站,121,4,25,20250603,20250603
119,動物園-南港展覽館,捷運大湖公園站,捷運內湖站,71,5,25,20250603,20250603
120,動物園-南港展覽館,捷運內湖站,捷運文德站,78,6,25,20250603,20250603
121,動物園-南港展覽館,捷運文德站,捷運港墘站,72,7,25,20250603,20250603
122,動物園-南港展覽館,捷運港墘站,捷運西湖站,65,8,25,20250603,20250603
123,動物園-南港展覽館,捷運西湖站,捷運劍南路站,110,9,25,20250603,20250603
124,動物園-南港展覽館,捷運劍南路站,捷運大直站,103,10,25,20250603,20250603
125,動物園-南港展覽館,捷運大直站,捷運松山機場站,172,11,25,20250603,20250603
126,動物園-南港展覽館,捷運松山機場站,捷運中山國中站,142,12,25,20250603,20250603
127,動物園-南港展覽館,捷運中山國中站,捷運南京復興站,66,13,25,20250603,20250603
128,動物園-南港展覽館,捷運南京復興站,捷運忠孝復興站,86,14,30,20250603,20250603
129,動物園-南港展覽館,捷運忠孝復興站,捷運大安站,67,15,45,20250603,20250603
130,動物園-南港展覽館,捷運大安站,捷運科技大樓站,69,16,30,20250603,20250603
131,動物園-南港展覽館,捷運科技大樓站,捷運六張犁站,122,17,25,20250603,20250603
132,動物園-南港展覽館,捷運六張犁站,捷運麟光站,72,18,25,20250603,20250603
133,動物園-南港展覽館,捷運麟光站,捷運辛亥站,124,19,25,20250603,20250603
134,動物園-南港展覽館,捷運辛亥站,捷運萬芳醫院站,106,20,25,20250603,20250603
135,動物園-南港展覽館,捷運萬芳醫院站,捷運萬芳社區站,99,21,25,20250603,20250603
136,動物園-南港展覽館,捷運萬芳社區站,捷運木柵站,47,22,25,20250603,20250603
137,動物園-南港展覽館,捷運木柵站,捷運動物園站,67,23,25,20250603,20250603
138,南勢角-蘆洲,捷運蘆洲站,捷運三民高中站,111,1,0,20250603,20250603
139,南勢角-蘆洲,捷運三民高中站,捷運徐匯中學站,92,2,25,20250603,20250603
140,南勢角-蘆洲,捷運徐匯中學站,捷運三和國中站,82,3,25,20250603,20250603
141,南勢角-蘆洲,捷運三和國中站,捷運三重國小站,107,4,25,20250603,20250603
142,南勢角-蘆洲,捷運三重國小站,捷運大橋頭站,151,5,25,20250603,20250603
143,南勢角-蘆洲,捷運大橋頭站,捷運民權西路站,72,6,26,20250603,20250603
144,南勢角-蘆洲,捷運民權西路站,捷運中山國小站,72,7,33,20250603,20250603
145,南勢角-蘆洲,捷運中山國小站,捷運行天宮站,96,8,30,20250603,20250603
146,南勢角-蘆洲,捷運行天宮站,捷運松江南京站,78,9,30,20250603,20250603
147,南勢角-蘆洲,捷運松江南京站,捷運忠孝新生站,102,10,30,20250603,20250603
148,南勢角-蘆洲,捷運忠孝新生站,捷運東門站,136,11,38,20250603,20250603
149,南勢角-蘆洲,捷運東門站,捷運古亭站,208,12,33,20250603,20250603
150,南勢角-蘆洲,捷運古亭站,捷運頂溪站,187,13,33,20250603,20250603
151,南勢角-蘆洲,捷運頂溪站,捷運永安市場站,103,14,29,20250603,20250603
152,南勢角-蘆洲,捷運永安市場站,捷運景安站,90,15,29,20250603,20250603
153,南勢角-蘆洲,捷運景安站,捷運南勢角站,97,16,28,20250603,20250603
154,南勢角-迴龍,捷運迴龍站,捷運丹鳳站,168,1,0,20250603,20250603
155,南勢角-迴龍,捷運丹鳳站,捷運輔大站,113,2,25,20250603,20250603
156,南勢角-迴龍,捷運輔大站,捷運新莊站,137,3,25,20250603,20250603
157,南勢角-迴龍,捷運新莊站,捷運頭前庄站,94,4,25,20250603,20250603
158,南勢角-迴龍,捷運頭前庄站,捷運先嗇宮站,108,5,25,20250603,20250603
159,南勢角-迴龍,捷運先嗇宮站,捷運三重站,142,6,25,20250603,20250603
160,南勢角-迴龍,捷運三重站,捷運菜寮站,84,7,25,20250603,20250603
161,南勢角-迴龍,捷運菜寮站,捷運台北橋站,97,8,25,20250603,20250603
162,南勢角-迴龍,捷運台北橋站,捷運大橋頭站,127,9,25,20250603,20250603
163,南勢角-迴龍,捷運大橋頭站,捷運民權西路站,72,10,26,20250603,20250603
164,南勢角-迴龍,捷運民權西路站,捷運中山國小站,72,11,33,20250603,20250603
165,南勢角-迴龍,捷運中山國小站,捷運行天宮站,96,12,30,20250603,20250603
166,南勢角-迴龍,捷運行天宮站,捷運松江南京站,78,13,30,20250603,20250603
167,南勢角-迴龍,捷運松江南京站,捷運忠孝新生站,102,14,30,20250603,20250603
168,南勢角-迴龍,捷運忠孝新生站,捷運東門站,136,15,38,20250603,20250603
169,南勢角-迴龍,捷運東門站,捷運古亭站,208,16,33,20250603,20250603
170,南勢角-迴龍,捷運古亭站,捷運頂溪站,187,17,33,20250603,20250603
171,南勢角-迴龍,捷運頂溪站,捷運永安市場站,103,18,29,20250603,20250603
172,南勢角-迴龍,捷運永安市場站,捷運景安站,90,19,29,20250603,20250603
173,南勢角-迴龍,捷運景安站,捷運南勢角站,97,20,28,20250603,20250603
174,新北產業園區-大坪林,捷運新北產業園區站,捷運幸福站,135,1,0,20250603,20250603
175,新北產業園區-大坪林,捷運幸福站,捷運頭前庄站,95,2,23,20250603,20250603
176,新北產業園區-大坪林,捷運頭前庄站,捷運新埔民生站,143,3,35,20250603,20250603
177,新北產業園區-大坪林,捷運新埔民生站,捷運板橋站,191,4,25,20250603,20250603
178,新北產業園區-大坪林,捷運板橋站,捷運板新站,153,5,40,20250603,20250603
179,新北產業園區-大坪林,捷運板新站,捷運中原站,111,6,25,20250603,20250603
180,新北產業園區-大坪林,捷運中原站,捷運橋和站,72,7,25,20250603,20250603
181,新北產業園區-大坪林,捷運橋和站,捷運中和站,104,8,25,20250603,20250603
182,新北產業園區-大坪林,捷運中和站,捷運景安站,194,9,25,20250603,20250603
183,新北產業園區-大坪林,捷運景安站,捷運景平站,84,10,35,20250603,20250603
184,新北產業園區-大坪林,捷運景平站,捷運秀朗橋站,79,11,25,20250603,20250603
185,新北產業園區-大坪林,捷運秀朗橋站,捷運十四張站,111,12,23,20250603,20250603
186,新北產業園區-大坪林,捷運十四張站,捷運大坪林站,145,13,23,20250603,20250603
